2021-05-08 23:39:23.993 [main] INFO  Logic.LogicalAgent - Dingram started
2021-05-08 23:39:23.996 [main] INFO  Logic.LogicalAgent - static lists initialized
2021-05-08 23:39:24.003 [main] INFO  Logic.LogicalAgent - user entered a new page
2021-05-08 23:39:32.350 [main] INFO  Logic.LogicalAgent - user input to be : insy
2021-05-08 23:39:34.364 [main] INFO  Logic.LogicalAgent - user input to be : insy
2021-05-08 23:39:35.370 [main] INFO  Logic.LogicalAgent - user input to be : insy
2021-05-08 23:39:37.386 [main] INFO  Logic.LogicalAgent - user input to be : inst
2021-05-08 23:39:42.423 [main] INFO  Logic.LogicalAgent - user input to be : 00-sign
2021-05-08 23:39:42.423 [main] INFO  Logic.LogicalAgent - user entered a new page
